###########################################################
#####  LOCALISATION for the Dark World Content Pack   #####
###########################################################
#####  Search ###Rewrite for incomplete localisation ######
#CODE;ENGLISH;;;;;;;;;;;;;x

###### TT Content Deviant Torture ######
#### Routing Event ####
TTContentTorture;Deviant Torture;;;;;;;;;;;;;x
TTContentTorture3000b;Get on with it.(Skip Scene).;;;;;;;;;;;;;x
TTContentTorture3001;You have been fucking [TT_torture_recipient.GetFirstName]'s face for a good while now. She has almost completely stopped fighting and instead seems intent on minimizing the pain as she keeps her head angled just right. It would be all too easy for you to finish inside her mouth right now... ;;;;;;;;;;;;;x
TTContentTorture3001alt;Your Dungeon Master has been fucking [TT_torture_recipient.GetFirstName]'s face for a good while now. She has almost completely stopped fighting and instead seems intent on minimizing the pain as she keeps her head angled just right. It would be all too easy for him to finish inside her mouth right now... ;;;;;;;;;;;;;x
TTContentTorture3001a;Where is the fun in that?;;;;;;;;;;;;;x
TTContentTorture3002;You pull out of her mouth and smile as the gasping breaths return to break the quietness of the room. As you climb down her slender frame you run your hands across [TT_torture_recipient.GetFirstName]'s body. Her bosom, her hips, she is an enticing specimen. \n \n She seems relieved, obviously thinking that you must be finished with her for this session. At that moment your cock brushes against the lips of her pussy and her body freezes, you move your body slightly letting the tip of your cock tease her opening.  A soft cry escapes her lips and she shakes her head no.;;;;;;;;;;;;;x
TTContentTorture3002alt;You have him pull out of her mouth and you smile as the gasping breaths return to break the quietness of the room. As he climbs down her slender frame he run his hands across [TT_torture_recipient.GetFirstName]'s body. Her bosom, her hips, she is an enticing specimen. \n \n She seems relieved, obviously thinking that you must be finished with her for this session. At that moment his cock brushes against the lips of her pussy and her body freezes, you motion towards him and he moves his body slightly letting the tip of his cock tease her opening.  A soft cry escapes her lips and she shakes her head no.;;;;;;;;;;;;;x
TTContentTorture3002a;Time for the finish...;;;;;;;;;;;;;x
TTContentTorture3003;You free one of her legs from the manacles and bring her knee up high. Her open pussy is stretched wide for you as you violate her body. Your cock sliding in and out of her well moistened slit. Between her groans and tears time passes and before you can stop the tide you orgasm deep inside of her. Your cock twitches and you push into her with each twitch. \n \n "I'll break you yet dear [TT_torture_recipient.GetFirstName], you'll start to enjoy this treatment. You'll beg me for it..." you whisper into her ear as you pull out and step away...;;;;;;;;;;;;;x 
TTContentTorture3003alt;Your Dungeon Master frees one of her legs from the manacles and brings her knee up high. Her open pussy is stretched wide for him to violate her body. His cock sliding in and out of her well moistened slit. Between her groans and tears time passes and before he can stop the tide of his orgasm, he releases deep inside of her. He pushes his cock in to the hilt, and you step forward and lean in to her ear. \n \n "I'll break you yet dear [TT_torture_recipient.GetFirstName], you'll start to enjoy this treatment. You'll beg me for it..." you whisper into her ear as your Dungeon Master pulls out and steps away...;;;;;;;;;;;;;x 
TTContentTorture3003a;She will come around.;;;;;;;;;;;;;x
TTContentTorture3500;[TT_torture_assailant.GetBestName] has [TT_torture_assailant.GetHerHis] men drag you to the racks and secure you into place. \n \n "Mercy, plaease, I don't deserve this. Surely this is a misunderstanding? My [TT_torture_assailant.GetLordLady]?" you say, but your words seem to have no impact at all. Like they haven't been heard. The ropes tighten and the rack creaks as your are pulled in opposite directions. \n \n You let out a shrill scream from the pain as you hear the lock clasp the machine into place. The pain clouds your mind even as your assailant climbs up your body and holds your head in strong hands. A cock is against your lips, and you open your mouth to scream. That opening was expected and the entire length of the cock is pressed into your mouth and throat. Your air supply is cut off. \n \n You can't breathe and you begin to panic. You pull against your shackles and begin to thrash about trying to free yourself.  AIR! You need to breathe! Then as quickly as it had began the cock in your throat is partially withdrawn allowing you to gasp for air around it... Just before the thrusting begings...;;;;;;;;;;;;;x
TTContentTorture3500a;Oh No!;;;;;;;;;;;;;x
TTContentTorture3500b;Get on with it.(Skip Scene).;;;;;;;;;;;;;x
TTContentTorture3501;Your assailant has been fucking your face with abandon for a while now. You have stopped fighting what you cannot change and instead have been trying to minimize the pain. You hold your head at an angle so that he will hopefully finish more quickly and leave you be.;;;;;;;;;;;;;x
TTContentTorture3501a;The humiliation is unbearable...;;;;;;;;;;;;;x
TTContentTorture3502;He pulls out of your mouth without warning and you gasp for breath, finally able to get a full breath without restriction. An appraising hand runs down your body, across your bosom and down to your hips. \n \n Relief begins to set in. He must be done? Surely this is over? But as you imagine such possibilities you feel the tip of his cock brush against the lips of your pussy. You freeze. He moves his body slightly letting the tip of his cock tease you.  \n \n As soft as a mouse you say "No.." and shake your head...;;;;;;;;;;;;;x
TTContentTorture3502a;Not this, not now...;;;;;;;;;;;;;x
TTContentTorture3503;He free's one of your legs from the manacles and brings your knee up to your chest. Your pussy is wide open and ready for him to violate you. Helplessness is all you can feel. His cock slides into your well moistened slit and you cry...  Tears streaking down your face. What feels like an eternity passes and you hear his breathing change pace, his cock twitches and he cums deep inside of you. His cock twitches and his pushes it slightly deeper as he leans into your ear. You hear [TT_torture_assailant.GetFirstName] whisper quietly... \n \n "I'll break you yet my dear [TT_torture_recipient.GetFirstName], you'll start to enjoy this treatment. You'll beg me for it..." the words hang in the air as you hear the footsteps move away.;;;;;;;;;;;;;x
TTContentTorture3503a;NEVER!;;;;;;;;;;;;;x

TTContentPainslutsuccess;PainSlut;;;;;;;;;;;;;x
TTContentTorture4000;You carefully examine your slut, bruises and marks along her slender frame clearly show the turmoil you have put her through. She looks at you longingly, unwilling to speak until you do.  She adjusts in her position on her knees and even the minor pain from kneeling on a cold stone floor seems to bring her pleasure. \n \n What have your deeds wrought?  A plaything with a very special appetite... \n \n <<She has gained a new trait, "Painslut", and has lost negative opinion modifiers from her the Sexual Torture.>>;;;;;;;;;;;;;x
TTContentTorture4000a;Just as I had hoped...;;;;;;;;;;;;;x
TTContentTorture4500;[TT_torture_assailant.GetSheHe] walks around you slowly, carefully examining you as if you were some type of prize pig on display. It makes you feel proud of yourself... \n \n The [TT_torture_assailant.GetTitle] seems to be paying special attention to the marks and bruises on your body. Those delightful welts were well earned. You adjust yourself on the stone floor so that you are sitting as upright as you can. You want your master to see how obedient you are.  Maybe, if you're good, [TT_torture_assailant.GetSheHe] will beat you again?;;;;;;;;;;;;;x
TTContentTorture4500a;I'm a Painslut!!;;;;;;;;;;;;;x














